ID,Name,Definition,Conception,Planning,Execution,Minimum Standard of Care,Labels
6517f2c3b87fd59a2db17f94,Gifts (Family),"Gift giving is not about buying something because a date on the calendar compels you to. When you get it right, it’s about connection and appreciation. The Magic here lies in finding gifts and writing cards that will make your family members feel special when a holiday, graduation, birthday, or any other occasion comes around. So the next time you see a card with a message that would resonate with your child, you might purchase it even though his or her birthday is a few months away. Tip! Re-deal as needed so you don’t have to buy birthday gifts for yourself.",GIFTS (FAMILY),"- Noting occasions (birthdays, holidays, Mother’s/Father’s Day) and people (children, parents, aunts/uncles, grandparents etc.) that may require gifts Exception: Cards/correspondence for extended family, parents, and in-laws stay with those “extended family” and “parents and in-laws” cardholders.",- Purchasing birthday cards and presents (having children/partner sign)- Wrapping presents- Shipping gifts if necessary,Are thoughtful gifts given at the appropriate times?,""
6517f32ea947c28e2e389854,Gifts (VIPs),"When it comes to Very Important People gift giving, the recipient might be your child’s teacher, coach, or the neighbors hosting you two doors down. If regifting is your thing, then CPEing this card can be easy and straightforward. Alternatively, this cardholder may wish to spend more time personalizing gifts and writing heartfelt cards. Either way—or somewhere in the middle—gift giving is an opportunity to connect with and thank the very important people in your life, which requires year-round CPE. Exception: Other kids’ birthday gifts stays with the “birthday celebrations (other kids)” cardholder.",GIFTS (VIPS),"- Noting occasions (invite to someone’s home, end of season coaching party, holiday time) and people (friends, coaches, teachers, childcare helpers, service providers such as mail carrier) that may require gifts",- Purchasing birthday cards and presents (having children/partner sign)- Wrapping presents- Shipping gifts if necessary,Are thoughtful gifts given at the appropriate times?,""
6517f39abb9df97f75dbfc0f,Glitch in the Matrix / Daily Disruption,"The last thing in the world you have time for is dealing with the unexpected disruption of a fender bender, a computer virus, a flooded basement . . . or having the phone ring and seeing the dreaded school phone number. Your child has lice . . . can you come pick her up? You don’t get a vote when a Wild card lands in your lap, but you do get to ask for a helping hand from your partner when a daily disruption torpedoes your day. Remember: Leaving work early because of X, Y, or Z is not “on you” unless you currently hold this card.","The Wild suit includes life-changing scenarios that rock your world, and come with a mind-numbing amount of invisible work. When you’re dealt a Wild card (hopefully temporarily), you’re entitled to ask for additional help from your partner guilt-free. Your partner is encouraged to reach out to your village for even more support, but the Wild cardholder is not the one who handles this delegation. You and your partner are also encouraged to remove cards from your deck, temporarily, while dealing with a Wild card.","","",Do you feel supported to take the lead on this wildcard? Will your partner be stepping up to take on other cards?,""
6517f4529c50c45574fd0bae,Groceries,"Your family needs to eat. Can we all agree on that? Good. So how do the pantry and refrigerator get stocked on an ongoing basis? With CPE. This includes noticing what’s about to be used up or expire, keeping a running grocery list, and getting to the market . . . ideally before you realize there’s not a drop of milk in the fridge. Even if your family orders groceries online and your go-to dinner is frozen pizza, this card requires CPE nearly 365 days a year. Consult the various “meals” cardholders regularly so you can be sure you have taco shells in the cupboard for taco night.",GROCERIES (DG),- Making a master list (consulting with “meals” cardholder)- Checking refrigerator and pantry for what is low and adding to list,- Shopping (grocery stores and/or online)- Loading and unloading groceries- Placing items in pantry/refrigerator- Throwing away expired items from refrigerator/freezer,"Are the appropriate, agreed-upon groceries in the home when you need them?",""
6517f4ed60be2559ae47bb34,Grooming & Wardrobe (Player 1),"Looking and feeling good, especially after children, doesn’t come easy. (There’s a reason that beauty is a $445 billion industry.) Even if you’re a DIY kind of woman, it still takes time to slather on moisturizer, pluck your eyebrows, style your hair, and put on lipstick. Kick it up a notch and you may add mani/pedis, eyelash extensions, and waxing to your beauty regimen. Add in shopping for clothes (in various sizes for pre-pregnancy, post-pregnancy, nursing, and every other reason your weight fluctuates) and you’ve got a potentially expensive and time-consuming card in your hands.",BEAUTY & WARDROBE (PLAYER ONE),"INSOURCED- Purchasing all necessary beauty products and tools, including makeup (lipstick, powder, mascara, eye liner/shadow, foundation, eyebrow liner) tweezers, deodorant, moisturizers/lotions/anti-aging creams, makeup removers, hairspray, gel, mousse, etc., hair accessories, nail polish, nail kit (nail files, cuticle scissors, buffers, etc.), hair dye","INSOURCED- Applying/using all necessary beauty products and toolsOUTSOURCED- Hair removal appointments- Haircut/blow-dry/color/highlights/straightening/extensions (hair, lashes)- Nail appointments- Facials/injection appointments- Tattoos- Piercings",Are you in charge of your own clothes and do you have appropriate clothes for all occasions? Do you feel good about yourself based on your expectations? Can you handle this yourself and not ask your partner to do it for you?,""
6517f5700034088f1f1b26e3,Grooming & Wardrobe (Player 2),"Imagine a conversation that starts innocently enough with a husband asking his wife, “Babe, where’s my black suit?” Then comes, “Never mind. Found it.” (Pause.) “Shoot, it doesn’t fit anymore.” And the coup de grâce is that their best friends’ wedding begins in one hour and the clock is ticking while he blames his wife for failing to buy or rent him a new one. This scenario is all too common as many women in hetero cis gender relationships CPE this card for their husbands. That’s right, grown men told me they rely on their wives not only to help them get dressed for special events but also to schedule haircuts, hem their pants, and replace their underwear with holes. If that truly works for you both, God bless. Otherwise, please consider taking this card for yourself, mister. You can do it.",GROOMING & WARDROBE (PLAYER TWO),"- Looking through own current wardrobe- Determining which clothes still fit and which might be outdated or worn out- Creating a list of clothing needs whether it be seasonal or by occasion- Evaluating underwear, socks, shoes, belts, and other accessories","- Donating wrong size, outdated, worn out items- Shopping for necessary items",Are you in charge of your own clothes and do you have appropriate clothes for all occasions? Do you feel good about yourself based on your expectations? Can you handle this yourself and not ask your partner to do it for you?,""
6517f5f7587f9be2a5dd7aa3,Hard Questions,"“Why do I have hair growing under my armpits?” “What does it mean when the other kids talk about ‘doing it’?” Enough said. You and your partner may re-deal this card to each other based on the question at hand or which child is asking, but when it’s your turn, be prepared as best you can to research and impart thoughtful, accurate, and age-appropriate wisdom. Spoiler alert: The questions get tougher and the stakes get higher as your kids grow up.",ANSWERING HARD QUESTIONS,"- Determining the appropriate age to discuss certain topics with your child (puberty, gender, sex/pornography, sexuality, drugs/alcohol, suicide, religion, family choices)- Connecting with friends who have older children to gather advice on how to introduce difficult topics- Consulting with doctors, professionals, and/or community resources when necessary",- Purchasing age-appropriate books to help educate your children- Being available for and open when answering your children’s questions,Are your children’s hard questions appropriately researched and answered in a way that feels good to both of you?,""
6517f6455e2ca5145aa26276,Health Insurance,"It’s a blessing to have health insurance. The paperwork that goes along with it? Not so much. Unless you somehow find a medical practice that handles all the billing for you, this cardholder needs to know every time anyone in your family goes to the doctor, makes sure the appropriate paperwork is filed for insurance, keeps track of reimbursements, and steps in when things go awry. Every time you see an envelope from your insurance provider (consult with the “mail” cardholder to ensure you receive), say a prayer that you’ve been covered.",HEALTH INSURANCE,"- Determining health insurance options (work, exchange etc.)- Researching various plans (HMO, PPO, etc.) to determine if doctors, specialists, prescriptions, other special needs are covered- Establishing flexible spending plan/health savings account if appropriate",- Selecting and enrolling in plan during open enrollment window- Fighting for coverage/reimbursements from medical providers- Giving checks to “money manager” cardholder for deposit in bank account- Checking whether deductible is being met,"If you are lucky enough to have health insurance, are your co-pays up to date and are you reimbursed in a timely manner?",""
6517f6a73561843f8938b460,Holiday Cards,"Get ready to turn the already chaotic holidays into a job filled with a spreadsheet of personal contacts (did they move?), address labels, and the inevitable returned cards that haunt you until next year. The amount of time—even if you go digital with an e-card—is colossal. Not to mention the nearly impossible feat of taking a family picture with everyone looking in the same direction and smiling! But think about it: It’s the one time a year Cousin Susie sees a picture of your growing family. In other words, holiday cards can be a meaningful touch point that makes all the CPE well worth it.",HOLIDAY CARDS,- Obtaining appropriate photo from “memories and photos” cardholder- Creating address list and updating addresses if needed,- Printing labels or addressing envelopes- Purchasing stamps (or ask “mail” cardholder to provide)- Applying labels/stamps- Mailing cards,Did the cards arrive in the desired mailboxes at the appropriate time?,""
6517f70a6193d838dd76a1ed,Holidays,"Just the time it takes to get holiday ornaments out of storage and unwrap them merits a glass of wine (or three), and that’s before the hard work even begins. From cooking to decor to all the logistics, CPEing any holiday is like running an event-planning company—sans the paycheck. When the kids want to attempt their own impossible-to-make (but too-cute-to-resist) Halloween costumes, this cardholder will make the Magic happen. Same goes for figuring out who’s hosting Thanksgiving, organizing Easter brunch with second cousins twice removed, and every other holiday and special ritual that your family celebrates. Saving grace: “travel,” “gifts (family)” and “magical beings” cards are not included in this card. In other words, leaving cookies out for Santa isn’t on you.",HOLIDAYS,"- Conceiving a holiday plan (discussing with “travel and hosting” cardholders) for: - Family specialty dishes - Decorations/décor - Day of holiday festivities/rituals/family gatherings Exception: “gifts (family),” “gifts (VIPs),” and “magical beings” (e.g., Santa) are separate cards.",- Executing a holiday plan,Is the holiday reflective of your traditions that will create lasting memories and family nostalgia?,""
6517f75a6daa325bdf503a1a,Home Furnishings,"CPEing this card can be as basic as making sure that every bed has a pillow, you have towels in the closet, and the drinking glasses with cracks get replaced before someone chips a tooth. This card is not a one-time deal, as there’s regular inventory to be taken and just when you could use that 20 percent off Bed Bath and Beyond coupon, it’s nowhere to be found. Kindly discuss with the “points, miles, and coupons” cardholder so you’re buttoned up for your next trip to the store.",HOME FURNISHINGS,"- Creating an inventory of what is needed- Researching items for price, look and functionality","- Purchasing items for the home: pots and pans, cutlery, dishes, towels, sheets, hand towels, pillows (beds, couches, etc.), mattresses, duvets, picture frames, candles, door mats, art/posters, appliances, bed frames, couches, dressers, chairs, dining room table, drapes/shades, kitchen table and chairs, stools, carpets/rugs, trash cans, bedside tables, lamps, coffee table items, book shelves, fireplace, and outdoor items.- Replacing broken/outdated items- Placing items in appropriate area in consultation with “organizing” cardholder","Once you agree on a plan for what your home should look like, is that plan implemented?",""
6517f7cb4b84265e60630a04,Home Goods & Supplies,"This card requires CPE of everything from laundry detergent, batteries, and lightbulbs, to toothpaste, coffee filters, and trash bags! Expect to be astounded by how your parents’ generation pulled this off without Amazon.",HOME GOODS & SUPPLIES (DG),"- Creating an inventory/making a master list (detergent, cleaning supplies, paper products, batteries, office supplies, bathroom supplies / toiletries/ Ziplock bags, Tupperware, lunch boxes)- Checking supplies for what is low",- Shopping- Loading and unloading goods/supplies- Placing items in appropriate area in consultation with “organizing” cardholder,Is there regular replenishment of home goods / are the goods & supplies there when you need them? Are they in the appropriate place when you need them? (i.e the toilet paper back on the holder),""
6517f8ece43f8074c8cf2288,Home Maintenance,"How many people does it take to change a lightbulb? In this game, just one, and it’s the person holding this card. You’re also responsible for unclogging toilets, calling a repairman when the air conditioner breaks (inevitably in the height of summer), finding the manual for the vacuum cleaner that’s spewing dust, and every other home maintenance to-do that requires hands-on CPE.",HOME MAINTENANCE (DG),- Making a master list and keeping track of weekly/monthly/annual home tasks that involve maintenance.- Sourcing (if applicable),"- Hiring- Ongoing communication and supervision- Making payments- Reimbursing to purchase suppliesOUTSOURCED- Hiring- Making payments- Communicating and supervising- Placing orders for parts/broken itemsINSOURCED (DIY FOR MAINTENANCE BELOW.)- Plumbing: toilet, sink, garbage disposal, water issues (filters, heater, softeners, mineral deposits, inspections), septic tank- Electrical: light bulbs, light fixtures, wiring- Interior: HVAC, air ducts, smoke detectors, vents, insulation, cabinets, appliance management, paint, fireplace/chimney, home security, exterminator- Exterior: roof/siding, tiles, gutters, power washing, pool(cleaning, draining, chemicals, pool skimmer, pool vacuum), exterior walkway cracks and paint, weather proofing, driveway (snow shoveling etc.)",Is there someone monitoring and timely handling repairs and upkeep in the home?,""
6517f95ab83e9b4c29716949,Home Purchase/Rental/Mortgage & Insurance,"If you aspire to be a homeowner with a mortgage one day, then when the time comes, you’ll need to CPE the purchasing process. If you’re already a homeowner with a mortgage, this cardholder oversees title insurance, reviewing an infinite amount of statements, and possible refinancing. If you’re looking to rent, then you’ll be the one to scour listings, fill out applications, and furnish your credit score. You’ll also handle home insurance (whether you rent or own), including evaluating the appropriate policy and filing claims if needed. Grab this card fast if paperwork and record-keeping are your strong suits.","HOME PURCHASE/RENTAL, MORTGAGE & INSURANCE","- Researching neighborhoods (affordability consulting with “money manager” cardholder, local schools, parks, safety)- Selecting home Realtor or rental broker, mortgage broker/lender- Attending open houses and touring homes/apartments- Securing pre-approval from bank for loan (including managing appraisers)- Managing financial documentation (tax returns, bank statements, income verification)- Ensuring credit score is up to par- Budgeting for mortgage payment, property tax/insurance, assessments and other homeowner expenses- Researching homeowners/renters insurance and other possible other options (earthquake, flood, etc.)",- Making offer (process) and managing closing- Attending and managing inspections- Making down payment money available- Purchasing homeowners/renters insurance and possible other options,Do you have keys to your pad? Plus insurance for your home and most important items?,""
6517f9e2cac2548bce5b43ca,Home Renovation,"Wild cards fall on a spectrum in terms of how life-altering and time-consuming the predicament can be. Obviously installing new toilets or kitchen cabinets is not as serious an endeavor as keeping your newborn nourished or managing a parent’s chemotherapy schedule. Still, it sure would be nice to have a working toilet and a functional kitchen, so someone’s got to do the work to make that happen.","The Wild suit includes life-changing scenarios that rock your world, and come with a mind-numbing amount of invisible work. When you’re dealt a Wild card (hopefully temporarily), you’re entitled to ask for additional help from your partner guilt-free. Your partner is encouraged to reach out to your village for even more support, but the Wild cardholder is not the one who handles this delegation. You and your partner are also encouraged to remove cards from your deck, temporarily, while dealing with a Wild card.","","",Do you feel supported to take the lead on this wildcard? Will your partner be stepping up to take on other cards?,""
6517fa489e6b70a9a372dbee,"Homework, Projects & School Supplies (Kids)","Has homework become a family affair? Even if you swore you’d never be the kind of parent who micromanages and digs in to your kids’ assignments, you at least need to be in the know if they don’t do their homework and be available if your child needs support. CPEing this card means not only taking the lead on daily assignments but also school projects and enrichment learning at home. If your child needs poster board for “Star Student of the Week” or munchies for “Snack Day,” that’s also on you, as well as outfitting your child for “Wacky Winter” dress-up day and providing two dozen (hand-signed!) Valentine’s Day cards on February 14. This is an endless job, so re-deal this card often.","HOMEWORK, PROJECTS, & SCHOOL SUPPLIES (DG)","- Supervising welcome-to-school assignments (e.g., photos of my family)- Assessing child’s daily/weekly homework needs- Helping child prioritize what needs to be done based on after-school activity schedule- Updating “calendar keeper” and “school breaks” cardholders on all important school dates including fall school recess, half days, conference weeks, winter break","- Assisting child when needed and providing emotional support when homework is challenging- Assisting child with studying for tests- Supporting and purchasing supplies for major projects (science fair, school biography, secret buddy gifts, Valentines, etc.)- Purchasing/arranging clothes for special days (e.g., school photos, performance concerts, field day, color wars, school theme days) and consulting with “morning routine” cardholder- Ordering school uniform if applicable- Ordering/shopping for back-to-school supplies",Are the kids supported enough so that they can turn their homework in on time?,""
6517facdcbdc9d56aa460964,Hosting,"Whether it’s a backyard barbecue, potluck dinner, or any other get-together in your home or elsewhere, hosting often entails sending out invites, planning the menu, filling a vase with flowers, and setting the table (and maybe a separate one for the kids). The downside to holding this card: You may forget to have fun at your own shindig as you bend over backward to ensure everyone else does. The upside: no need for a workout on hosting days, as you will probably hit 10,000 steps before you sit down to eat (if you get to at all).",HOSTING,- Creating plan for the event- Curating guest list- Managing RSVPs- Coordinating what guests may bring,"- Sending invitations- Purchasing/rentals: food, drinks, tableware, flowers, music, seating- Decorating (streamers, balloons, flowers, place cards, centerpieces, confetti)- Hiring servers/helpers- Setting up- Cleaning up",Did your guests have a good time and were their expectations met based on the event?,""
6517fb0cdabc1515143ebf76,Informal Education (Kids),"Do you remember who taught you how to hold your breath under water? Throw a ball? Ride a bike? Of course you do, and so will your child as soon as this cardholder gets to work. Kudos to you for the countless hours you’ll spend hovering over a bike seat with your back wrenched—that’s the Execution—but pay special attention to the Conception and Planning, as well. Start thinking now about those special milestone moments and life skills you want to teach your children. (Hint: If your kid is the only one in class still wearing Velcro sneakers, you might want to remedy that by teaching him to tie his shoes.)",INFORMAL EDUCATION,"- Determining age-appropriate skills for children (e.g. shoe tying, buttoning a shirt, bike riding, etiquette/manners/how to write a thank you note, preparing a meal)- Setting a chores list as they grow (coordinate with the related cardholders)",- Implement plan to impart skills- Modeling chores/manners- Enforcing a chores list as they grow,Is your child developing age-appropriate life skills without too much stress?,""
6517fb5d026849193cb3810d,Job Loss & Money Problems,"Serious financial issues like unemployment or bankruptcy require heavy lifting that may include networking, job interviews, court appearances, and many other time-sucking items of business. Of course you’re both impacted by the stressful issue at hand, but this cardholder takes the lead on resolving it while consulting with the “money manager” so your family’s budget can be modified accordingly.","The Wild suit includes life-changing scenarios that rock your world, and come with a mind-numbing amount of invisible work. When you’re dealt a Wild card (hopefully temporarily), you’re entitled to ask for additional help from your partner guilt-free. Your partner is encouraged to reach out to your village for even more support, but the Wild cardholder is not the one who handles this delegation. You and your partner are also encouraged to remove cards from your deck, temporarily, while dealing with a Wild card.","","",Do you feel supported to take the lead on this wildcard? Will your partner be stepping up to take on other cards?,""
6517fb98fb8f6beb53e1dcd9,Laundry,"f you haven’t ever CPE’d this card, would you like to take a guess at how many loads of laundry your family generates weekly? A freakin’ lot, that’s my guess. If you never go a day without clean socks and your daughter can always find her favorite rainbow shirt, then be sure to thank this cardholder, who not only throws the load in the washer and dryer but also folds it and puts it all away. If laundry tends to pile up and multiply in your home, it’s time to re-deal this card and come up with a new standard before the next cycle begins.",LAUNDRY (DG),- Sorting clothes and reviewing clothing instructions (colors/whites/delicates),"- Spraying stains pre-wash- Washing/drying- Ironing/steaming- Hanging, folding, putting away",Are there laundered clothes when you need them where you need them in their place in the respective closets? (i.e not all over the floor or wrinkled in the dryer),""
6517fbd66ae6e5eef0bf2789,Lawn & Plants,"If you’ve got a lawn, a backyard or balcony vegetable garden, or just a struggling succulent by your kitchen window, then you know it takes careful CPE to keep your greenery alive, no less thriving. Even if you have a helpful gardener to lend you his or her green thumb, it’s still on you to keep an eye on limp or leggy plants that may need a shot of Miracle-Gro.",LAWN & PLANTS,"- Researching appropriate plants for home (climate, sunlight exposure, seasonal, water usage/drought resistance)- Defining maintenance plan- Managing weather conditionsOUTSOURCED (LANDSCAPE, GARDENER, LAWN MOWER, ETC.)- Sourcing","- Executing maintenance plan- System control (sprinkler set-up, daylight saving times, stay apprised of local laws on watering)- Purchasing seeds, flowers, plants, fertilizer, sod, mulch, soil, shovels, gloves, trimming supplies, chain saw, wheel barrel- Lawn/garden maintenance (mowing, fertilizing, weeds and pesticides)- Pest control: monitor pet/animal/insect prevention- Pruning/trimming/raking/citrus removal: trees, bushes, flowers- Hiring- Paying- Managing and communicating (including access plan)",Are your plants/lawn alive with no safety hazards?,""
6517fc178ff0731be3c5e3df,Magical Beings (Kids),"By holding this card, you hold the CPE required to keep your child’s dreams and imagination alive. When it comes to the Tooth Fairy, Elf on the Shelf, Santa Claus, the Easter Bunny, the Mensch on a Bench, Saint Patrick’s Day leprechauns, the Switch Witch, or any other magical being that you introduce into your family, believing in the unbelievable disappears quickly. Put in the time and effort today to make the Magic come to life.",MAGICAL BEINGS,"- Determining which being to introduce (e.g. Tooth Fairy, Santa Claus, Easter Bunny, Elf on the Shelf, Mensch on a Bench, Saint Patrick’s Day leprechauns, Switch Witch)- Preparing a plan for each being introduced- Setting alarm- Having magical being talks (real v. not real)",- Purchasing the magical being supplies- Executing plan,Does your kid believe in the chosen magical being until a reasonable age?,""
6517fc4650ff00814bd90818,Mail,Does every item in your home have a proper place and is there a system to get them there? Are those that don’t get donated?,MAIL (DG),"","- Retrieving mail daily- Opening and sorting mail- Giving bills to “cash management and bills” cardholder, tax forms to “money manager” cardholder, invitations to “calendar keeper” cardholder, and health insurance forms to “health insurance” cardholder- Purchasing stamps- Mailing outgoing mail- Shipping and picking-up packages at post office",Is the mail coming in everyday and getting sorted in a timely manner? Do packages need to be picked up before they are shipped back to the sender?,""
6517fc7c0109cc0768e63269,Marriage & Romance,"A herofail is what one mom called it when her husband scheduled a series of surprise romantic dinners on Thursday nights not realizing that’s when she holds the “transportation (kids)” card for their daughter’s play rehearsals. Her husband’s heart was in the right place, but this card (like all of ’em) takes Conception, Planning, and Execution—emphasis needed on the Planning in his case. This cardholder might be the one who, for example, initiates a regular date night (on a night that works!). Planning for kid-free time can feel like a logistical nightmare (scheduling a sitter, coordinating calendars, and agreeing on details), but cardholders who pull it off report it’s well worth it.",MARRIAGE & ROMANCE,"·     Conceiving of thoughtful gestures for your spouse (gifts, cooking a meal, a note, flowers)
·     Ensuring that time is set aside for just the two of you on a regular basis
·     Scheduling date nights, including making dinner reservations, show tickets etc.
·     Scheduling couple-only trips with “travel” cardholder
·     Planning time for intimacy
‍",·      Executing consistent opportunities for family fun,Is there a reasonable effort made to maintain you and your partner’s connection?,""
6517fd594ed94737d015a778,Meals (Kids; School Lunch),"If you’re this cardholder, toss the idea of a relaxing night out the window because it’s time to start packing lunch for the kids. Don’t let all the #schoollunch pics on Instagram get you down. Your Fair Play Minimum Standard of Care could be a protein bar, an apple, and a bottle of water if that’s all your kid will eat. And even if your child’s school provides lunch, you still have to take the lead and sign up for this program and provide lunch money to cover pizza Fridays.",MEALS (SCHOOL LUNCH) (DG),INSOURCED- Menu and snack planning and purchasing containers (give list of items needed to “home goods and supplies” cardholder or purchase yourself)OUTSOURCED- Log into school portal to order school lunch and/or add money to account (exception: all other school forms go to “school forms” cardholder),- Preparing and packing into container (including filling daily water bottle and providing utensils/ice packs)- Staying apprised of what child is eating/not eating,Do the kids have a reasonably nutritious meal in their backpack every day and/or is it ordered and paid for (access to money)?,""
6517fdfd30aa5a2e295b1343,Meals (Weekday Breakfast),"One mom I spoke to lamented that she’s held this card every single day since her kids were old enough to eat solids. Every. Single. Day. Prepare to frequently re-deal full CPE of this nonnegotiable Daily Grind unless serving oatmeal and toast at breakneck speed is your jam. Dishes left in the sink and milk spilled on the counter isn’t “on you” unless you hold the “dishes” and “tidying” cards. Still, be respectful before you zoom out the door.",MEALS (WEEKDAY BREAKFAST) (DG),- Menu planning/recipe selection- Making lists of items needed (give to “groceries” cardholder with appropriate amount of time or purchase yourself),- Cooking/preparing- Serving- Putting dishes in sink for “dishes” cardholder,Is your family fed a reasonably nutritious meal during the appropriate time window for each meal?,""
6517fe55380f1505324eba7c,Meals (Weekday Dinner),"If you have never CPE’d dinnertime in a family with kids (particularly young ones), then no words can really do justice to this nightly circus. The ringleader plans a weekly menu, consults the “groceries” cardholder to have the ingredients at home, then cooks, ensures that the food actually gets eaten, and ideally uses this forced family time to have “quality” conversations about everyone’s day. Men: Kudos to you if cooking is one of your domestic contributions, but that’s just one word on this doozy of a card. Hero status isn’t awarded for just pulling out a frying pan.",MEALS (WEEKDAY DINNER) (DG),- Menu planning/recipe selection- Making lists of items needed (give to “groceries” cardholder with appropriate amount of time or purchase yourself),- Cooking/preparing- Serving- Putting dishes in sink for “dishes” cardholder,Is your family fed a reasonably nutritious meal during the appropriate time window for each meal. (i.e Lunch at 4 pm doesn’t cut it when kids last ate at 8 am.),""
6517febacc227553208f8e1c,Meals (Weekend),"Why do weekend meals feel more burdensome than weekday meals? Oh, let us count the ways. Maybe it’s because there are twice as many of them than on a school day. Perhaps it’s because they amplify the kitchen mess exponentially. Or because when you make it to Saturday night, you’re still only halfway there. Weekend meals deserve their own card—who wants it? Psst. Serving lunch at 4 p.m. doesn’t cut it unless midday meltdowns are your thing.",MEALS (WEEKEND),- Menu planning/recipe selection- Making lists of items needed (give to “groceries” cardholder with appropriate amount of time or purchase yourself)- Determining meals eaten out or with friends/family,- Cooking/preparing- Serving- Putting dishes in sink for “dishes” cardholder,Are you monitoring the time and making sure your kids are being fed during the appropriate window?,""
6517ff09eca7522a47c2c6a3,Medical & Healthy Living (Kids),"From stocking up on standard pain relievers and regular checkups at the pediatrician to seeing specialists as needed, your kids’ medical care requires tremendous research, coordination, and time. Healthy living may also include buying vitamins and healthy snacks (in collaboration with the “groceries” cardholder) and inspiring an active lifestyle with family exercise or other heart-pumping activities. This cardholder also takes the lead stocking up on items like hand sanitizer, sunscreen, and bug spray. Exception: You’re off the hook from dealing with “health insurance” unless that’s your card, too.",MEDICAL & HEALTHY LIVING (KIDS) (DG),"- Researching, interviewing and selecting pediatrician- Scheduling well checks, vaccine appointments, and annual physicals- Ensuring that child has up-to-date vaccines- Keeping track of questions to ask doctor between well visits- Scheduling child’s sick visits- Determining if specialists are necessary (e.g., eye doctor, GI etc.)- Prevention: researching vitamins and sunscreen (for morning routine cardholder)- Encouraging active lifestyle for all family members, especially exercise- Ensuring that “groceries” cardholder is including plenty of healthy food options for adults and children","- Purchasing and stocking standard pain reliever/allergy medicines for children (and adults whenever possible)- Keeping specialty medicine up to date, including specialty items like EpiPen and asthma medications/nebulizers- Attending, and taking notes during well checks, vaccine appointments, and annual physicals- Attending child’s sick visits- Filling prescriptions, checking medicine side effects and administering medicine- Manage at-home medical issues such as constipation, sleeping issues, allergies, other GI, asthma, ENT, etc.- Purchasing vitamins and sunscreen- Monitoring family members’ consumption of caffeine, alcohol, fried foods, smoking habits, fatty foods- Encouraging calming behaviors/quiet times",Are you on top of your kids health concerns and do they go to their physicals on time?,""
6517ffea3ae2a9f84ae4a865,Memories & Photos,"God bless those parents who make photo albums every year and who can rest assured that if the basement flooded, all their old photos are scanned and backed up in the cloud. No need to aim that high, but if you hold this card, your family’s lifelong memories are nevertheless in your hands. When a photo collage is needed for “Student of the Week,” it’s time to cue the music . . . and kiss some of your time goodbye. When the boxes of your child’s artwork that you’ve been collecting since kindergarten threaten to take over every wall in your home, it’s time to consult with the “storage” and “organizing” cardholder. Do we keep it all or secretly recycle?",MEMORIES & PHOTOS,- Researching photo storage and back up options: cloud options by storage fees and functionality and/or hard drive- Signing up for cloud accounts including managing user name and passwords- Arranging family photo shoots,"- Taking pictures- Organizing digital photos into folders- Creating photo books and/or printing photos- Digitizing old photos (scan, upload, file)- Creating home videos / photo montages",Are the appropriate photos readily accessible when you need them? Are you capturing memories you desire?,""
65180067d64fd62f8159914a,Middle-of-the-night Comfort (Kids),"Define “middle of the night” as you see fit, because when daylight savings time hits, you may think of this as the “way too early to be morning” card that leaves you dog-tired and at your wit’s end. (It’s amazing how just one hour can do so much damage!) Bad dreams at 3 a.m., cries of “I can’t sleep!” just when you’re curled up in bed to watch TV, and help with trips to the toilet for that stomach bug going around are all in this cardholder’s hands. As one woman explained it, “When my husband has middle-of-the-night duty, I refer to this as the ‘Don’t call Mom’ card!”",MIDDLE-OF-THE-NIGHT COMFORT (DG),"·     Making yourself available for your children following bedtime routine, including:
·     Trouble falling asleep
·     Middle of the night feedings
·     Nightterrors
·     Bed-wetting
·     Researching, creating a plan, gathering input from partner about sleep training
‍","·     Executing plan for sleep training
‍",Do your kids have consistent access to a designated parent if middle-of-the-night issues arise?,""
65180119494f59dcb9bc6892,Money Manager,"If you’re taking the lead on this card, you are intrepid because managing a family’s budget is no small feat. Planning for the present and preparing for the future is a good start, but there’s so much more to CPEing this card. Short and long-time budgeting. Paying off debt. Retirement planning. College savings and 401(k) investments. And of course there’s also the fun that rolls around every April 15. Day-to-day “cash and bills” is a separate card, and these cardholders will collaborate often.",MONEY MANAGER,"- Researching investments etc. (self)- Researching broker/investment adviser/online brokerage and all issues related to retirement, college, emergency funds etc.- Tax planning","- Managing investment accounts (including 401k/retirement and college funds) with financial adviser/online broker (in or Outsourced)- Managing family budget (income and expenses)- Tax receipt and form collecting and filing appropriate forms (self, tax preparation software, or with accountant)- Depositing checks in bank account",Do you have a budget / financial plan? Are you intentional about for planning for the future? Are you on the same page with paying off debt and are taxes filed on time (or an appropriate agreed up extension)?,""
651801663d2c470153c5a37d,Morning Routine (Kids),"When was the last time you slept in, pooped in peace, or leisurely read the newspaper while drinking coffee in the morning? Before kids, if you’re holding this card. This cardholder is prepared for daily combat before sunrise with a baby and early still with school-aged kids who often need rousing from bed and help getting dressed, hair and teeth brushed, sunscreen applied, and ushering out the door. At least the “meals (weekday breakfast)” cardholder takes the lead on getting them fed.",MORNING ROUTINE (DG),"- Ensuring children are up and getting ready for the day (dressed in appropriate, seasonal clothes, hair/teeth brushed, bathroom needs met)- Consulting with “homework, projects, and school supplies” cardholder for special clothes days",- Applying sunscreen- Taking vitamins/medicines,"Are the kids appropriately hygienic and dressed for school? (i.e. when it’s 20 degrees out, shorts don’t cut it)",""
